jdate,high,low,open,close,volume,returns,volume_change
1399-05-15,2034210,2011980,2011980,1.190842792601262,0.5695143252470829,0.09810942740036133,-0.9536663203446585
1399-05-19,2083190,2068820,2068820,1.3113010375733178,0.5544908652816928,0.10115377589759644,-0.015023459965390118
1399-05-20,2103310,2064650,2100700,1.2748850086364754,1.3623568336380885,-0.027770914453201123,0.8078659683563957
1399-05-21,2039800,1999370,2039800,1.0975389477140514,-0.10377873895845947,-0.13910749575140158,-1.466135572596548
1399-05-22,2039460,1975290,2018690,1.0314764665628793,0.7037864721081425,-0.060191468638782,0.807565211066602
1399-05-25,1944790,1902980,1944790,0.8350310137473114,-0.29242114914131784,-0.19045073657392309,-0.9962076212494604
1399-05-26,1880840,1813550,1880840,0.591301793209943,-0.5673116545041583,-0.2918804409953607,-0.2748905053628405
1399-05-27,1815690,1794310,1799780,0.5970685703296431,1.979354869047539,0.009752679910531858,2.546666523551697
1399-05-28,1856530,1825350,1838800,0.6233152873051674,1.370715318487897,0.04395930095773326,-0.608639550559642
1399-05-29,1812310,1756870,1812310,0.4382566375676123,-0.787856078735513,-0.29689412967494355,-2.15857139722341
1399-06-01,1779560,1727220,1773450,0.3567472378733793,0.6856880062512459,-0.1859855452426732,1.473544084986759
1399-06-02,1710590,1662200,1710590,0.17993926454270884,-0.30937523851697607,-0.4956113308252862,-0.9950632447682219
1399-06-03,1650690,1607250,1650690,0.03410937433525254,0.9635191206817609,-0.8104395145665574,1.272894359198737
1399-06-04,1650470,1621980,1621980,0.1468414424216785,0.5529843655553754,3.305017177342819,-0.4105347551263855
1399-06-05,1718760,1676640,1676640,0.33364208279718255,-0.9056785836362966,1.2721247986591986,-1.458662949191672
1399-06-10,1762480,1727940,1753400,0.3586169563740172,2.5167874900104525,0.0748552861421159,3.422466073646749
1399-06-11,1714960,1684730,1714960,0.2411834158949989,-0.5287249919604986,-0.3274623198701786,-3.045512481970951
1399-06-12,1660890,1631880,1660890,0.09753848742375314,-0.8102587898296371,-0.5955837715383495,-0.28153379786913846
1399-06-15,1645280,1639170,1642190,0.12513314099276063,0.8469303724126374,0.2829104110372689,1.6571891622422745
1399-06-16,1669270,1647850,1660680,0.14094150221109003,0.7676651005006176,0.12633232965233376,-0.07926527191201971
1399-06-17,1631690,1607210,1631690,0.03048951235436639,-0.8246724019670357,-0.7836725742521048,-1.5923375024676534
1399-06-18,1587000,1570040,1587000,-0.0705051804351772,-1.7168691624498884,-3.312440409532499,-0.8921967604828527
1399-06-19,1556320,1546140,1552590,-0.10782889248134118,0.16655423896650282,0.529375456041554,1.8834234014163913
1399-06-22,1590460,1571480,1571480,-0.033279302496604754,-0.5319222648368719,-0.6913693377462498,-0.6984765038033747
1399-06-23,1593270,1574730,1584160,-0.048391954505394456,0.5358476526973919,0.4541156477162205,1.0677699175342639
1399-06-24,1607490,1584450,1584450,0.03124772668820065,0.14522692281844554,-1.6457215255630424,-0.39062072987894636
1399-06-25,1667250,1633040,1633040,0.1863365281335542,0.26476383640867296,4.963202699283597,0.11953691359022742
1399-06-26,1712040,1694530,1694530,0.29379098963823774,2.3558780648337105,0.5766687969396265,2.0911142284250377
1399-06-29,1712990,1686000,1699170,0.2813089880780199,1.0749646589249116,-0.04248599174395262,-1.280913405908799
1399-06-30,1690720,1652240,1689630,0.1528826985654547,-0.40751265957319177,-0.4565310564372963,-1.4824773184981033
1399-06-31,1619660,1595140,1619660,-0.0022957841451910726,-1.1634442511185024,-1.0150166380285874,-0.7559315915453106
1399-07-01,1594180,1566520,1592670,-0.040184759924106035,0.9657660848143849,16.503718722110765,2.1292103359328873
1399-07-02,1621850,1596230,1596230,0.042012196137367355,1.2584458734793786,-2.0454758524553256,0.2926797886649938
1399-07-05,1634890,1615650,1625530,0.053496833322971615,-0.08397797185231982,0.2733643618165764,-1.3424238453316986
1399-07-06,1599240,1572140,1599240,-0.06477373229877413,-1.0959982762539673,-2.2107956354672718,-1.0120203044016474
1399-07-07,1551440,1515930,1551440,-0.21757158505802632,-1.5480162527946908,2.358947791590264,-0.4520179765407235
1399-07-08,1497840,1483580,1497840,-0.2801609553896997,0.7104149793111534,0.28767253920120495,2.258431232105844
1399-07-09,1503410,1488990,1500810,-0.25159611358707634,0.47691056039678076,-0.10195868215429982,-0.23350441891437262
1399-07-12,1546150,1513270,1513270,-0.13546159264774538,-0.039886990641096895,-0.4615910766011785,-0.5167975510378776
1399-07-13,1548960,1522930,1548960,-0.19853469828917683,2.022947101815482,0.46561615295227554,2.062834092456579
1399-07-14,1504150,1489780,1504150,-0.2876289589358522,0.5928917164540223,0.4487591409180507,-1.43005538536146
1399-07-15,1514710,1496050,1496050,-0.22092512085713556,-0.28855458484048574,-0.23190932625665528,-0.881446301294508
1399-07-16,1541920,1526810,1526810,-0.1502454133504636,0.2645618967162514,-0.31992607826784003,0.5531164815567371
1399-07-19,1542110,1534050,1541130,-0.14715820373313127,-0.08099654466881066,-0.020547779452881443,-0.3455584413850621
1399-07-20,1600200,1554820,1554820,0.0028595298020619533,1.5867077850065519,-1.0194316710147378,1.6677043296753624
1399-07-21,1595960,1579320,1590290,-0.04464164704771962,2.61342593732518,-16.611534111492514,1.0267181523186282
1399-07-22,1588790,1570970,1583010,-0.0444595669030354,1.269897580772534,-0.0040787057988604936,-1.3435283565526461
1399-07-23,1580970,1560560,1580970,-0.09387122646495133,-0.19447900929078538,1.1113841857632316,-1.4643765900633192
1399-07-27,1548210,1514230,1548210,-0.22216163527252836,-0.9653969172937524,1.3666638184968933,-0.7709179080029671
1399-07-28,1493940,1462380,1493940,-0.3631025377145085,-1.526082524304799,0.6344070265286184,-0.5606856070110466
1399-07-29,1450620,1419310,1450620,-0.4801501769913603,-0.9460335490206515,0.32235423088362225,0.5800489752841476
1399-07-30,1431080,1412280,1422830,-0.4992060870589081,1.1029071598541549,0.039687395695557015,2.0489407088748064
1399-08-03,1396480,1374040,1396480,-0.6031575439889953,-1.1979397811658594,0.20823355248434816,-2.3008469410200143
